id,x,y,area,circularity,perimeter,intensity,aspect_ratio
particle_001,120.5,85.3,245.8,0.92,58.4,178,1.05
particle_002,310.2,145.7,189.3,0.88,52.1,165,1.12
particle_003,185.9,220.4,312.5,0.95,67.8,192,1.03
particle_004,425.6,180.2,156.7,0.78,48.3,145,1.45
particle_005,95.3,305.8,278.4,0.91,62.5,183,1.08
particle_006,380.1,95.6,198.2,0.85,54.7,172,1.18
particle_007,220.7,350.2,267.9,0.93,61.3,188,1.06
particle_008,510.4,245.3,142.6,0.72,45.2,138,1.62
particle_009,165.8,425.9,295.1,0.94,65.1,195,1.04
particle_010,445.2,315.7,175.8,0.82,50.8,158,1.28
particle_011,75.6,180.5,253.7,0.90,59.6,181,1.09
particle_012,350.9,480.1,210.4,0.87,55.9,168,1.15
particle_013,280.3,125.8,324.6,0.96,69.2,198,1.02
particle_014,135.4,515.2,162.3,0.76,47.6,142,1.52
particle_015,490.7,425.8,285.9,0.92,63.7,186,1.07
particle_016,55.2,395.6,196.8,0.84,53.4,170,1.21
particle_017,410.5,550.3,272.3,0.89,60.9,179,1.11
particle_018,245.8,65.9,148.5,0.74,46.1,140,1.58
particle_019,325.1,385.4,301.7,0.93,66.4,190,1.05
particle_020,580.3,175.9,182.1,0.81,51.5,162,1.32
particle_021,190.6,580.7,259.4,0.91,60.2,184,1.08
particle_022,460.8,80.4,168.9,0.79,49.7,150,1.41
particle_023,110.9,255.3,287.6,0.94,64.3,193,1.04
particle_024,540.7,360.2,203.5,0.86,54.1,166,1.19
particle_025,295.4,495.6,315.8,0.95,68.5,196,1.03
particle_026,85.7,450.1,145.7,0.73,44.8,136,1.65
particle_027,415.3,215.8,276.2,0.92,62.1,185,1.07
particle_028,230.1,340.5,191.6,0.83,52.8,163,1.24
particle_029,565.4,295.7,264.8,0.90,61.7,182,1.10
particle_030,145.2,155.4,308.9,0.96,67.1,194,1.02
particle_031,375.9,540.9,158.3,0.77,48.9,147,1.48
particle_032,515.6,135.2,281.4,0.93,63.2,187,1.06
particle_033,65.8,525.7,199.7,0.85,53.9,169,1.17
particle_034,340.7,280.3,246.5,0.88,58.7,176,1.13
particle_035,485.2,455.6,173.9,0.80,50.3,155,1.36
particle_036,205.3,410.8,292.3,0.94,65.6,191,1.04
particle_037,450.6,515.4,186.4,0.82,51.9,160,1.29
particle_038,125.7,340.2,268.7,0.91,60.8,180,1.09
particle_039,395.8,365.9,154.2,0.75,47.1,143,1.54
particle_040,270.9,215.6,297.5,0.95,66.8,189,1.03
